         31553995 function calls (31400672 primitive calls) in 37.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    283/1    0.002    0.000   37.466   37.466 {built-in method builtins.exec}
        1    0.375    0.375   37.466   37.466 run_simulation.py:1(<module>)
    50000    4.360    0.000   29.829    0.001 population.py:111(mutate)
   119423    4.963    0.000    8.135    0.000 {method 'binomial' of 'mtrand.RandomState' objects}
   199063    1.827    0.000    5.294    0.000 population.py:21(__hash__)
    50000    1.578    0.000    3.915    0.000 population.py:96(reproduce)
   144856    1.137    0.000    3.288    0.000 population.py:12(__eq__)
   393939    3.237    0.000    3.237    0.000 {built-in method builtins.dir}
   358269    0.407    0.000    3.172    0.000 fromnumeric.py:2083(any)
    50000    0.246    0.000    3.103    0.000 population.py:78(get_fitnesses)
100000/50000    0.830    0.000    2.814    0.000 __init__.py:3374(select)
   358269    0.837    0.000    2.764    0.000 fromnumeric.py:69(_wrapreduction)
    50000    0.525    0.000    2.404    0.000 population.py:32(neighborhood_distribution)
    50000    2.371    0.000    2.371    0.000 population.py:114(<listcomp>)
    50000    1.103    0.000    1.899    0.000 __init__.py:3503(<listcomp>)
    50000    0.176    0.000    1.676    0.000 functools_lru_cache.py:99(wrapper)
   150107    1.560    0.000    1.560    0.000 {built-in method numpy.array}
   408269    1.555    0.000    1.555    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   323416    0.127    0.000    1.540    0.000 {method 'get' of 'dict' objects}
  6370014    1.505    0.000    1.505    0.000 population.py:23(<lambda>)
   238846    0.387    0.000    1.076    0.000 {method 'any' of 'numpy.generic' objects}
  4635392    1.049    0.000    1.049    0.000 population.py:14(<lambda>)
   119423    0.083    0.000    1.015    0.000 fromnumeric.py:1694(nonzero)
    50000    0.340    0.000    0.962    0.000 random.py:264(shuffle)
   119423    0.206    0.000    0.932    0.000 fromnumeric.py:54(_wrapfunc)
   450000    0.848    0.000    0.848    0.000 {method 'randint' of 'mtrand.RandomState' objects}
123780/24756    0.307    0.000    0.829    0.000 copy.py:132(deepcopy)
  8447444    0.795    0.000    0.795    0.000 {built-in method _operator.eq}
   499020    0.476    0.000    0.706    0.000 random.py:224(_randbelow)
   238846    0.094    0.000    0.690    0.000 _methods.py:42(_any)
    49019    0.236    0.000    0.624    0.000 myclass.py:19(__mutate__)
    24756    0.134    0.000    0.542    0.000 copy.py:268(_reconstruct)
    50000    0.154    0.000    0.517    0.000 fromnumeric.py:41(_wrapit)
    50000    0.505    0.000    0.505    0.000 {method 'multinomial' of 'mtrand.RandomState' objects}
    50000    0.051    0.000    0.474    0.000 {method 'sum' of 'numpy.ndarray' objects}
   119753    0.452    0.000    0.453    0.000 {built-in method builtins.any}
    50000    0.027    0.000    0.423    0.000 _methods.py:34(_sum)
  1438471    0.367    0.000    0.367    0.000 {built-in method builtins.getattr}
    50000    0.028    0.000    0.302    0.000 numeric.py:469(asarray)
   597189    0.191    0.000    0.278    0.000 population.py:24(<genexpr>)
   475058    0.254    0.000    0.254    0.000 __init__.py:2495(vs)
